text,label
go here to check the views :3﻿,0
Follow me watch my videos :) Follow me watch my videos :) Follow me watch  my videos :) Follow me watch my videos :) Follow me watch my videos :)  Follow me watch my videos :) Follow me watch my videos :)﻿,1
go check out our video﻿,1
I love it﻿,0
The best song ever!﻿,0
Check out this video on YouTube:﻿,1
"#nowplaying ""Weekendmix"" track 04 : Katy Perry - Roar (DJ Denis Shmelev &amp; DJ Alex Serov Remix) http://youtu.be/CevxZvSJLk8   Listen live at: www.smartfm.nl/livestream.html﻿",1
https://www.paidverts.com/ref/tomuciux99 esyest money ever. join to our  team!!!!﻿,1
wow!!!!!! increible song!!!!!!!!!﻿,0
"Cool Video LMFAOVEVO! You should check out my shuffling videos on my channel when you get the chance. It&#39;s much appreciated. Cheers! <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23EveryDayImVaping"">#EveryDayImVaping</a> ;-)﻿",1
Omg can this be the first video on YouTube to hit 1 billion views like this comment of you agree.﻿,1
WOW VERY NICE CONGRASULATION I LIVE SO MUCH http://en.prothom-alo.com/sport/news/53331/Zimbabwe-A-team-due-in-Dhaka-Wednesday ﻿,1
YAY IM THE 11TH COMMENTER!!!!!                                    IF YOUR  CRAZY PLEASE DONATE BITCOINS TO ME AT: 1FHeNqx1twqM153v2PTAyieJNEALAhZvEM﻿,1
"the views...... They&#39;re over 90,000!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿",0
http://www.googleadservices.com/pagead/aclk?sa=L&amp;ai=CSyOEB1wxVPCfL7D27AbGpYDgBJDPm6IH6MHu05wBgJXbv8sBEAEgkN7lJVCF7byH_f____8BYIOFgICAHKABsKG31wPIAQKpAh_KmC0hBpM-qAMByAPBBKoEkwFP0KullxqI1MG6o43HVzE-eFMqRG4Tu5LLBU_fsZ8gn0HBkJhBX-m83W1TS3_3Dx_HwPdX1Kazsj8o7SIEcVJjmBNsWyiJEcqvHXLbdzStUBOFaloYInWm0_rOOCppS2AuAT6zguICKm0lI83duwMAbzqvenE8TRfAzOrltBb037VzYv_XI4hBNQ2nvh19MrBgE0SIBgGgBgKAB7jeyCg&amp;num=1&amp;cid=5Ggs_m_9mA3TI40fS6mVPICS&amp;sig=AOD64_1OFC7Seh_1pOp-jYrbS7X6-heeNQ&amp;client=ca-pub-8252267209931889&amp;adurl=http://blog.2parale.ro/2014/10/challenge-pentru-afiliati-aplica-la-noile-programe-de-afiliere-si-fii-business-boomerul-lunii/&amp;nm=2&amp;mb=2&amp;bg=!A0QoUc7Q48v3_QIAAABpUgAAACsqAR0_VgOQWQxjmPUyvKoSf3K-q1BvKf9ZE4jhNC3ovckKxCbAFzZpAJiBXWBvVq4jrDgZ8q3rInlwgaBy_bXlfw7ma6dk0RJG14ZkRyizwqdi7HxgGE9tNDD9abflTFkBMbFfcJixNtHwbwkJ6N2onLH2D9EvEagPhoEwXOgBnu5ibgtRkgnAcQ1OIbgMzgAFNSc0lsaRiqj8HQR8T12dWv_7biY4k6I3y4yubloTdE_4XVKlnVeADZzF1L_xRYQkE6Wsur3EdLJWGk8fLq_QALdI-wAzNuysgqjNRDY6VucKLplZONyiSdKc9ebX-0dbHjZdW0LbsJBi40gXm0D0p5KRhv8XInQlI53__wQBaHS8zX4MJHw5vWrkPXFOeKs ﻿,1
Check out this video on YouTube:<br /><br /><br /><br />﻿,1
"2,124923004 wiews... wow﻿",0
NICE GIRL :D﻿,0
Stupid people... this video doesnt have 2 billion visits. Have 2 thousands  millions﻿,0
What free gift cards? Go here  http://www.swagbucks.com/p/register?rb=13017194﻿,1
this video has 800+m views<br />and the channel got 3m subscribers﻿,1
"This video is so cool, again and again!﻿",0
Awesome﻿,0
curti? click here ?  https://www.facebook.com/demiilovatofas?ref=hl   https://www.facebook.com/pages/Frases-Secretas/448800865296855?ref=hl﻿,1
even without make up she is still  hot     http://uk.eonline.com/eol_images/Entire_Site/2012430/reg_1024.katy.mkup.mh.053012.jpg ﻿,1
At least she didn't get rid of her completely useless makeup.﻿,0
Like my page please...  https://m.facebook.com/Dreaddis?ref=m_notif¬if_t=fbpage_fan_invite&amp;actorid=1442646731  ﻿,1
Wow 23 min ago﻿,0
Help Please!!  http://www.gofundme.com/RJanimalcare﻿,1
Check out this video on YouTube:﻿,1
Check out my Music Videos! Fuego - U LA LA Remix  hyperurl.co/k6a5xt﻿,1
If you pause at 1:39 at the last millisecond you can see that that chick is  about to laugh. Takes a few tries.﻿,0
CUTE  :)﻿,0
Sub to my channel visuelgamingzNL I sub back﻿,1
"how can there be 2.124.821.694 views, when im the only person alive after  the zombie apocalypse - greetings, spoderman :)﻿",0
"iS IN TOP 10 , IN YOUTUBE TOP VIEWS , ON 9 IS MILEY CYRUS: http://www.google.ro/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=1&amp;ved=0CB8QFjAA&amp;url=http%3A%2F%2Fen.wikipedia.org%2Fwiki%2FList_of_most_viewed_YouTube_videos&amp;ei=OQ3yU9DWC8L4yQOYo4GoAw&amp;usg=AFQjCNGKM-Idplal6kuVKoEkVgdTT2jVLQ&amp;sig2=OnqZzad3q3CmNBe9nml4gA&amp;bvm=bv.73231344,d.bGQ&amp;cad=rja ﻿",1
Thumbs up if you&#39;re watching in 2015﻿,0
"THIS IS A COMPETITION TO MEET MY IDOLS, IT WOULD MEAN SO MUCH IF YOU GUYS  WILL LIKE THIS PIC ON IG! http://instagram.com/p/smZdivopxb/﻿",1
I'm not a big fan of the song but this video is awesome!﻿,0
Check out this video on YouTube:الإعلانات<br /><br /><br /><br /><br /><br />لل﻿,1
2015 LIKEEE﻿,0
cooooooooooooolllllllllll﻿,0
Yesterday this video have 1 million likes and now it has 2 million﻿,0
http://shhort.com/a?r=Jt2ufxHxc﻿,1
I #votekatyperry for the 2014 MTV #VMA Best Lyric Video! See who's in the  lead and vote:  http://on.mtv.com/Ut15kX﻿,1
"Hey guys please check out my new Google+ page it has many funny pictures,  FunnyTortsPics  https://plus.google.com/112720997191206369631/post﻿",1
never gets old﻿,0
Check out this video on YouTube:fb i﻿,1
Check out this video on YouTube:﻿,1
Like this comment for no reason﻿,1
Party Rock....lol...who wants to shuffle!!!﻿,0
"Man she is hot in this one, male companions visit my profile to check out  the coolest sextoy ever made!﻿",1
CHECK MY CHANNEL FOR MY NEW SONG 'STATIC'!! YOU'LL LOVE IT!!﻿,1
WHY DOES THIS HAVE 2 BILLION VIEWS THIS SONG IS SO ANNOYING﻿,0
"Damn, this was everywhere﻿",0
check men out i put allot of effort into my music but unfortunatly not many  watch it﻿,1
subscribe my chanel﻿,1
"Dance dance,,,,,Psy  http://www.reverbnation.com/msmarilynmiles﻿",1
Can anyone sub to my channel? :D﻿,1
Add me here...https://www.facebook.com/TLouXmusic﻿,1
Hii youtube﻿,0
follow me on twitter: freyacumqueen﻿,1
